Title,Price,Bedrooms,Bathrooms,Areas,Location,Url
Terrace at presint 16 for sale,RM 950 000,4 Bedrooms,3 Bathrooms,2300 sq.ft.,Putrajaya,https://www.mudah.my/Terrace+at+presint+16+for+sale-86311134.htm
"Terrace endlot 2.5 storey at presint 18c, putrajaya for sale",RM 1 080 000,4 Bedrooms,4 Bathrooms,2500 sq.ft.,Putrajaya,https://www.mudah.my/Terrace+endlot+2+5+storey+at+presint+18c+putrajaya+for+sale-83587934.htm
"Nego Sampai Jadi!🔥Double Storey Terrace House PRESINT 11, PUTRAJAYA",RM 675 000,4 Bedrooms,3 Bathrooms,1540 sq.ft.,Putrajaya,https://www.mudah.my/Nego+Sampai+Jadi+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88604292.htm
Corner lot 2.5 storey terrace Putrajaya presint 18C house for sale,RM 1 150 000,5 Bedrooms,5 Bathrooms,2500 sq.ft.,Putrajaya,https://www.mudah.my/Corner+lot+2+5+storey+terrace+Putrajaya+presint+18C+house+for+sale-83716681.htm
2.5 Storey Duta Villa Presint 14 - Walking distance to Surau (100 m),RM 1 250 000,6 Bedrooms,6 Bathrooms,3864 sq.ft.,Putrajaya,https://www.mudah.my/2+5+Storey+Duta+Villa+Presint+14+Walking+distance+to+Surau+100+m+-87367024.htm
Double Storey Terrace Fully Furnished Freehold Presint 11 Putrajaya,RM 760 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/Double+Storey+Terrace+Fully+Furnished+Freehold+Presint+11+Putrajaya-86003636.htm
"Terhad 10 unit , 10min to Putrajaya Freehold",RM 660 000,4 Bedrooms,4 Bathrooms,2608 sq.ft.,Putrajaya,https://www.mudah.my/Terhad+10+unit+10min+to+Putrajaya+Freehold-88492157.htm
Endlot 2 storey terrace presint 14 putrajaya [below market][must buy],RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/Endlot+2+storey+terrace+presint+14+putrajaya+below+market+must+buy+-88602636.htm
"[ DEPOSIT FLEXIBLE ] Double Storey Terrace House PRESINT 11, PUTRAJAYA",RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/+DEPOSIT+FLEXIBLE+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88602228.htm
"Terrace House - 3 Storey superlink house, percinct 14, putrajaya",RM 1 390 000,6 Bedrooms,6 Bathrooms,3660 sq.ft.,Putrajaya,https://www.mudah.my/Terrace+House+3+Storey+superlink+house+percinct+14+putrajaya-88601642.htm
NEAR PUTRAJAYA Double Storey Semi D Harmony Park Jenderam For Sale,RM 845 000,5 Bedrooms,4 Bathrooms,2816 sq.ft.,Putrajaya,https://www.mudah.my/NEAR+PUTRAJAYA+Double+Storey+Semi+D+Harmony+Park+Jenderam+For+Sale-87967309.htm
"Terrace house 2.5 storey percinct 16, putrajaya",RM 1 350 000,5 Bedrooms,5 Bathrooms,3500 sq.ft.,Putrajaya,https://www.mudah.my/Terrace+house+2+5+storey+percinct+16+putrajaya-88529855.htm
"3 Storey Terrace House (Duta Villa) for Sale, Precinct 14, Putrajaya",RM 1 359 000,6 Bedrooms,6 Bathrooms,3660 sq.ft.,Putrajaya,https://www.mudah.my/3+Storey+Terrace+House+Duta+Villa+for+Sale+Precinct+14+Putrajaya-86934314.htm
"Storey House - 3 Storey Supelink House, Percinct 14, Putrajaya",RM 1 390 000,6 Bedrooms,6 Bathrooms,3660 sq.ft.,Putrajaya,https://www.mudah.my/Storey+House+3+Storey+Supelink+House+Percinct+14+Putrajaya-88601096.htm
FLEXIBLE DEPOSIT Double Storey Terrace House PRESINT 11 PUTRAJAYA,RM 675 000,4 Bedrooms,4 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/FLEXIBLE+DEPOSIT+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88601366.htm
"Semi-D FACING LAKE for Sale, Danau Mutiara Putrajaya",RM 2 550 000,5 Bedrooms,6 Bathrooms,4281 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+FACING+LAKE+for+Sale+Danau+Mutiara+Putrajaya-76383317.htm
"Corner LAKE , Precint 8 FERA",RM 4 500 000,6 Bedrooms,6 Bathrooms,5296 sq.ft.,Putrajaya,https://www.mudah.my/Corner+LAKE+Precint+8+FERA-81453030.htm
"Semi-detached 2.5 storey the thymes8, Percinct 11, Putrajaya",RM 2 209 000,5 Bedrooms,5 Bathrooms,4190 sq.ft.,Putrajaya,https://www.mudah.my/Semi+detached+2+5+storey+the+thymes8+Percinct+11+Putrajaya-88400414.htm
"Semi D House (NEW) Sg Merab, Teras Jernang, Bangi",RM 740 000,5 Bedrooms,4 Bathrooms,3264 sq.ft.,Putrajaya,https://www.mudah.my/Semi+D+House+NEW+Sg+Merab+Teras+Jernang+Bangi-86131874.htm
